               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12365,            0.056761,            0.062643,                   0,                   0,                   0,                   0,             0.11897,            0.047472,            0.061299,             0.00013,             0.00013,             0.09883
                   1,             0.11986,            0.055215,            0.061965,                   0,                   0,                   0,                   0,             0.11344,            0.049017,            0.060583,          0.00026999,          0.00026999,             0.09757
                   2,             0.11675,            0.054852,            0.061183,           0.0014078,           0.0052083,           0.0004903,          7.5989e-05,             0.11058,            0.049633,            0.060334,          0.00040996,          0.00040996,             0.09631
                   3,             0.11364,            0.060094,            0.060673,           0.0062778,           0.0052083,           0.0020648,          0.00027757,             0.10475,            0.050204,            0.059532,          0.00054988,          0.00054988,             0.09505
                   4,             0.11063,            0.060389,            0.059629,           0.0041055,            0.052083,           0.0030944,          0.00060866,             0.10115,            0.050542,             0.05909,          0.00068973,          0.00068973,             0.09379
                   5,             0.10611,             0.06054,            0.058903,            0.011685,            0.046875,           0.0084311,            0.001681,            0.098937,            0.049091,            0.058491,          0.00082949,          0.00082949,            0.092529
                   6,              0.1034,            0.058397,            0.058268,             0.15614,            0.071725,            0.016894,           0.0039734,            0.095751,            0.048328,            0.057801,          0.00096914,          0.00096914,            0.091269
                   7,             0.10095,            0.060686,            0.057638,              0.4335,            0.083333,            0.045991,            0.010749,            0.094072,             0.04699,            0.057521,           0.0011087,           0.0011087,            0.090009
                   8,            0.098319,            0.059072,            0.057025,             0.29687,             0.14062,            0.040435,            0.011395,            0.091368,            0.044515,            0.056942,            0.001248,            0.001248,            0.088748
                   9,             0.09624,            0.058204,            0.056325,             0.46071,             0.15625,            0.079194,            0.018424,            0.089806,            0.041809,            0.056258,           0.0013872,           0.0013872,            0.087487
                  10,            0.094111,            0.055143,            0.055568,              0.4978,             0.11684,            0.097479,            0.018736,            0.088231,            0.039503,            0.055135,           0.0015262,           0.0015262,            0.086226
                  11,            0.093043,            0.055719,            0.054326,             0.33446,              0.1563,            0.096223,            0.018584,            0.088817,            0.038558,            0.054031,            0.001665,            0.001665,            0.084965
                  12,            0.092821,            0.055206,            0.053625,            0.080888,             0.20833,            0.086042,            0.018223,            0.093047,            0.037247,            0.053481,           0.0018036,           0.0018036,            0.083704
                  13,            0.091608,            0.048476,            0.053086,             0.53478,             0.14871,             0.10669,            0.025348,             0.08684,            0.037527,            0.052179,           0.0019419,           0.0019419,            0.082442
                  14,            0.090687,            0.052978,             0.05195,              0.1219,             0.25324,             0.13141,            0.031188,            0.082986,            0.037238,            0.051839,           0.0020799,           0.0020799,             0.08118
                  15,            0.088927,            0.049569,            0.051249,             0.12989,             0.13021,             0.08198,            0.016447,            0.085155,            0.038536,            0.050904,           0.0022176,           0.0022176,            0.079918
                  16,            0.090041,            0.049702,            0.050322,             0.23475,             0.24153,             0.14268,            0.031595,            0.087206,             0.03546,            0.049883,           0.0023551,           0.0023551,            0.078655
                  17,             0.08805,            0.047139,            0.049023,              0.1062,             0.16594,            0.082447,            0.015843,            0.084665,            0.038573,             0.04894,           0.0024921,           0.0024921,            0.077392
                  18,            0.088777,            0.047701,            0.047858,             0.12956,             0.23338,             0.13625,             0.03235,            0.085397,            0.037598,            0.047705,           0.0026289,           0.0026289,            0.076129
                  19,            0.085329,            0.049059,             0.04674,             0.34449,             0.26114,             0.24291,            0.049247,            0.079069,            0.037006,            0.045691,           0.0027652,           0.0027652,            0.074865
                  20,            0.087659,            0.046836,             0.04497,                0.23,             0.42092,             0.22041,            0.045934,            0.079695,            0.036375,             0.04515,           0.0029012,           0.0029012,            0.073601
                  21,             0.08419,              0.0481,            0.044373,             0.20486,             0.35208,             0.18231,            0.039902,             0.08084,             0.03285,            0.043747,           0.0030367,           0.0030367,            0.072337
                  22,            0.083039,            0.045286,            0.042812,             0.24514,             0.39328,             0.24203,            0.063888,            0.076694,            0.035305,            0.042975,           0.0031718,           0.0031718,            0.071072
                  23,            0.080152,            0.046925,            0.041613,            0.098064,             0.41667,             0.10532,            0.019717,            0.086363,             0.03498,            0.041664,           0.0033065,           0.0033065,            0.069806
                  24,            0.084985,            0.043984,             0.04142,             0.14936,              0.4996,             0.13892,            0.026405,            0.084235,            0.032177,               0.041,           0.0034407,           0.0034407,            0.068541
                  25,            0.082685,            0.046184,            0.040548,             0.23108,             0.55341,              0.2714,            0.059842,            0.073022,             0.03366,            0.039785,           0.0035743,           0.0035743,            0.067274
                  26,            0.080505,            0.044706,            0.040146,             0.25669,             0.47114,             0.25711,            0.053429,            0.078562,            0.031728,            0.040138,           0.0037075,           0.0037075,            0.066008
                  27,            0.080201,            0.043547,            0.039629,             0.10861,                 0.5,             0.12434,            0.031757,            0.086355,            0.032402,            0.040928,           0.0038401,           0.0038401,             0.06474
                  28,            0.079435,             0.04317,            0.039429,              0.2538,             0.40104,             0.25019,            0.044124,            0.075128,            0.032493,            0.039247,           0.0039722,           0.0039722,            0.063472
                  29,            0.077643,            0.041587,            0.038546,             0.27899,             0.52604,             0.34901,            0.082093,            0.076546,            0.033773,            0.039853,           0.0041037,           0.0041037,            0.062204
                  30,            0.077923,            0.042794,            0.038861,             0.44078,              0.3956,             0.40183,             0.09214,            0.073915,            0.034371,            0.039116,           0.0042346,           0.0042346,            0.060935
                  31,            0.074102,            0.039353,            0.038288,             0.33832,             0.37658,             0.29645,            0.064714,            0.076389,            0.030671,            0.038317,           0.0043649,           0.0043649,            0.059665
